source,target,value
Alifu Dhaalu,Alifu Dhaalu,7861
Alifu Dhaalu,Vaavu,9
Alifu Dhaalu,Meemu,12
Alifu Dhaalu,Faafu,13
Alifu Dhaalu,Dhaal,14
Alifu Dhaalu,Thaa,5
Alifu Dhaalu,Laamu,15
Alifu Dhaalu,Gaafu Alif,6
Alifu Dhaalu,Gaaf Dhaalu,12
Alifu Dhaalu,Gnaviyani,1
Alifu Dhaalu,Seenu,15
Vaavu,Haa Alifu,7
Vaavu,Haa Dhaalu,5
Vaavu,Shaviyani,1
Vaavu,Noonu,11
Vaavu,Raa,9
Vaavu,Baa,13
Vaavu,Lhaviyani,3
Vaavu,Kaafu,63
Vaavu,Alifu Alifu,15
Vaavu,Alifu Dhaalu,35
Vaavu,Vaavu,1406
Vaavu,Meemu,14
Vaavu,Faafu,2
Vaavu,Dhaal,5
Vaavu,Thaa,14
Vaavu,Laamu,1
Vaavu,Gaafu Alif,0
Vaavu,Gaaf Dhaalu,2
Vaavu,Gnaviyani,0
Vaavu,Seenu,2
Meemu,Haa Alifu,5
Meemu,Haa Dhaalu,18
Meemu,Shaviyani,7
Meemu,Noonu,26
Meemu,Raa,16
Meemu,Baa,14
Meemu,Lhaviyani,11
Meemu,Kaafu,125
Meemu,Alifu Alifu,31
Meemu,Alifu Dhaalu,67
Meemu,Vaavu,5
Meemu,Meemu,4486
Meemu,Faafu,11
Meemu,Dhaal,46
Meemu,Thaa,24
Meemu,Laamu,13
Meemu,Gaafu Alif,12
Meemu,Gaaf Dhaalu,11
Meemu,Gnaviyani,1
Meemu,Seenu,15
Faafu,Haa Alifu,4
Faafu,Haa Dhaalu,6
Faafu,Shaviyani,6
Faafu,Noonu,3
Faafu,Raa,4
Faafu,Baa,9
Faafu,Lhaviyani,6
Faafu,Kaafu,55
Faafu,Alifu Alifu,17
Faafu,Alifu Dhaalu,31
Faafu,Vaavu,5
Faafu,Meemu,16
Faafu,Faafu,3910
Faafu,Dhaal,41
Faafu,Thaa,7
Faafu,Laamu,10
Faafu,Gaafu Alif,6
Faafu,Gaaf Dhaalu,16
Faafu,Gnaviyani,3
Faafu,Seenu,11
Dhaal,Haa Alifu,14
Dhaal,Haa Dhaalu,13
Dhaal,Shaviyani,6
Dhaal,Noonu,7
Dhaal,Raa,6
Dhaal,Baa,7
Dhaal,Lhaviyani,0
Dhaal,Kaafu,117
Dhaal,Alifu Alifu,11
Dhaal,Alifu Dhaalu,43
Dhaal,Vaavu,2
Dhaal,Meemu,24
Dhaal,Faafu,17
Dhaal,Dhaal,5141
Dhaal,Thaa,17
Dhaal,Laamu,23
Dhaal,Gaafu Alif,7
Dhaal,Gaaf Dhaalu,15
Dhaal,Gnaviyani,4
Dhaal,Seenu,15
Thaa,Haa Alifu,22
Thaa,Haa Dhaalu,26
Thaa,Shaviyani,18
Thaa,Noonu,32
Thaa,Raa,27
Thaa,Baa,30
Thaa,Lhaviyani,15
Thaa,Kaafu,229
Thaa,Alifu Alifu,20
Thaa,Alifu Dhaalu,60
Thaa,Vaavu,5
Thaa,Meemu,18
Thaa,Faafu,11
Thaa,Dhaal,47
Thaa,Thaa,8487
Thaa,Laamu,86
Thaa,Gaafu Alif,19
Thaa,Gaaf Dhaalu,20
Thaa,Gnaviyani,8
Thaa,Seenu,23
Laamu,Haa Alifu,26
Laamu,Haa Dhaalu,22
Laamu,Shaviyani,14
Laamu,Noonu,27
Laamu,Raa,15
Laamu,Baa,50
Laamu,Lhaviyani,24
Laamu,Kaafu,233
Laamu,Alifu Alifu,37
Laamu,Alifu Dhaalu,79
Laamu,Vaavu,12
Laamu,Meemu,38
Laamu,Faafu,13
Laamu,Dhaal,58
Laamu,Thaa,125
Laamu,Laamu,11380
Laamu,Gaafu Alif,47
Laamu,Gaaf Dhaalu,34
Laamu,Gnaviyani,18
Laamu,Seenu,33
Gaafu Alif,Haa Alifu,14
Gaafu Alif,Haa Dhaalu,9
Gaafu Alif,Shaviyani,12
Gaafu Alif,Noonu,18
Gaafu Alif,Raa,15
Gaafu Alif,Baa,33
Gaafu Alif,Lhaviyani,15
Gaafu Alif,Kaafu,169
Gaafu Alif,Alifu Alifu,21
Gaafu Alif,Alifu Dhaalu,27
Gaafu Alif,Vaavu,4
Gaafu Alif,Meemu,9
Gaafu Alif,Faafu,13
Gaafu Alif,Dhaal,19
Gaafu Alif,Thaa,9
Gaafu Alif,Laamu,26
Gaafu Alif,Gaafu Alif,7904
Gaafu Alif,Gaaf Dhaalu,126
Gaafu Alif,Gnaviyani,24
Gaafu Alif,Seenu,76
Gaaf Dhaalu,Haa Alifu,21
Gaaf Dhaalu,Haa Dhaalu,37
Gaaf Dhaalu,Shaviyani,26
Gaaf Dhaalu,Noonu,37
Gaaf Dhaalu,Raa,32
Gaaf Dhaalu,Baa,66
Gaaf Dhaalu,Lhaviyani,41
Gaaf Dhaalu,Kaafu,329
Gaaf Dhaalu,Alifu Alifu,46
Gaaf Dhaalu,Alifu Dhaalu,79
Gaaf Dhaalu,Vaavu,10
Gaaf Dhaalu,Meemu,23
Gaaf Dhaalu,Faafu,20
Gaaf Dhaalu,Dhaal,36
Gaaf Dhaalu,Thaa,33
Gaaf Dhaalu,Laamu,53
Gaaf Dhaalu,Gaafu Alif,244
Gaaf Dhaalu,Gaaf Dhaalu,10869
Gaaf Dhaalu,Gnaviyani,54
Gaaf Dhaalu,Seenu,139
Gnaviyani,Haa Alifu,26
Gnaviyani,Haa Dhaalu,15
Gnaviyani,Shaviyani,6
Gnaviyani,Noonu,38
Gnaviyani,Raa,9
Gnaviyani,Baa,81
Gnaviyani,Lhaviyani,24
Gnaviyani,Kaafu,485
Gnaviyani,Alifu Alifu,56
Gnaviyani,Alifu Dhaalu,160
Gnaviyani,Vaavu,5
Gnaviyani,Meemu,13
Gnaviyani,Faafu,6
Gnaviyani,Dhaal,39
Gnaviyani,Thaa,17
Gnaviyani,Laamu,20
Gnaviyani,Gaafu Alif,74
Gnaviyani,Gaaf Dhaalu,71
Gnaviyani,Gnaviyani,7575
Gnaviyani,Seenu,153
Seenu,Haa Alifu,42
Seenu,Haa Dhaalu,41
Seenu,Shaviyani,19
Seenu,Noonu,79
Seenu,Raa,49
Seenu,Baa,159
Seenu,Lhaviyani,66
Seenu,Kaafu,1190
Seenu,Alifu Alifu,177
Seenu,Alifu Dhaalu,303
Seenu,Vaavu,14
Seenu,Meemu,22
Seenu,Faafu,19
Seenu,Dhaal,105
Seenu,Thaa,44
Seenu,Laamu,57
Seenu,Gaafu Alif,118
Seenu,Gaaf Dhaalu,126
Seenu,Gnaviyani,111
Seenu,Seenu,18290
